Data_Show;Nome_Show;Cidade;Local
20/10/2022;Show Gilberto Gil;RIO DE JANEIRO - BRASIL;Theatro Municipal do Rio de Janeiro
27/10/2022;Show Gilberto Gil;CURITIBA - BRASIL;Teatro Positivo
28/10/2022;Show Gilberto Gil;CURITIBA - BRASIL;Teatro Positivo
05/11/2022;Show Gilberto Gil;PETRÓPOLIS - BRASIL;Festival Rock the Mountain 2022
12/11/2022;Show Gilberto Gil;PETRÓPOLIS - BRASIL;Festival Rock the Mountain 2022
03/03/2023;Show Gilberto Gil in Concert;PORTO ALEGRE - BRASIL;Auditório Araújo Vianna
04/03/2023;Show Gilberto Gil in Concert;PORTO ALEGRE - BRASIL;Auditório Araújo Vianna
13/04/2023;Show Gilberto Gil in Concert;JOÃO PESSOA - BRASIL;Teatro Pedra do Reino
15/04/2023;Show Gilberto Gil in Concert;RECIFE - BRASIL;Teatro Guararapes
16/04/2023;Show Gilberto Gil in Concert;RECIFE - BRASIL;Teatro Guararapes
"ext-align: left;"">© TODOS OS DIREITOS RESERVADOS. DESENVOLVIDO PELA <a href=""https://origgami.com.br/"">ORIG";"ext-align: right;""><a href=""https://gilbertogil.com.br/politica-de-privacidade/"">Política de Privacidade</a> | <a href=""https://gilbertogil.com.br/politica-de-cookies/"">Política de Co";"YLE=""FONT-WEIGHT: 400"">ESTE COOKIE É DEFINIDO PELO PLUGIN GDPR COOKIE CONSENT. ESSE COOKIE É USADO ​​PARA REGISTRAR O CONSENTIMENTO DO USUÁRIO PARA OS COOKIES NA CATEGORIA ""ANALÍTICOS";"yle=""font-weight: 400"">Este cookie é definido pelo plugin GDPR Cookie Consent. Esse cookie é usado ​​para registrar o consentimento do usuário para os cookies na categoria ""Funcionais"
"yle=""font-weight: 400"">Este cookie é definido pelo plugin GDPR Cookie Consent. Esse cookie é usado ​​para registrar o consentimento do usuário para os cookies na categoria ""Necessários";"yle=""font-weight: 400"">Este cookie é definido pelo plugin GDPR Cookie Consent. Esse cookie é usado ​​para registrar o consentimento do usuário para os cookies na categoria ""Outros";"YLE=""FONT-WEIGHT: 400"">ESTE COOKIE É DEFINIDO PELO PLUGIN GDPR COOKIE CONSENT. ESSE COOKIE É USADO ​​PARA REGISTRAR O CONSENTIMENTO DO USUÁRIO PARA OS COOKIES NA CATEGORIA ""PERFORMANCE";kie é definido pelo plugin GDPR Cookie Consent. Esse cookie é usado ​​para registrar se o usuário consentiu ou não com o uso de cookies. Ele não armazena nenhum dado
okie é instalado pelo Google Universal Analytics para restringir a taxa de solicitação e, assim, limitar a coleta de dados em sites de alto ;ookie, instalado pelo Google Analytics, calcula dados de visitantes, sessões e campanhas e também acompanha o uso do site para o relatório de análise do site. O cookie armazena informações anonimamente e atribui um número gerado aleatoriamente para reconhecer visitantes;DO PELO GOOGLE ANALYTICS, _GID DE COOKIES ARMAZENA INFORMAÇÕES SOBRE COMO OS VISITANTES USAM UM SITE, AO MESMO TEMPO EM QUE CRIAM UM RELATÓRIO DE ANÁLISE DO DESEMPENHO DO SITE. ALGUNS DOS DADOS COLETADOS INCLUEM O NÚMERO DE VISITANTES, SUA FONTE E AS PÁGINAS QUE VISITAM ANONI;be define esse cookie através de vídeos incorporados no YouTube e registra dados estatísticos a
ie definido pelo YouTube para medir a largura de banda que determina se o usuário recebe a nova ou antiga interface do ;e YSC é definido pelo Youtube e é usado para rastrear as visualizações de vídeos incorporados nas páginas do ;BE DEFINE ESSE COOKIE PARA ARMAZENAR AS PREFERÊNCIAS DE VÍDEO DO USUÁRIO USANDO VÍDEO INCORPORADO DO ;be define esse cookie para armazenar as preferências de vídeo do usuário usando vídeo incorporado do 
